review_id,business_id,star_costomer,useful,funny,cool,text,city,label,latitude,longitude,star_business,review_count,attributes,categories,year
U_2N9my8s2jCb65gzGZ23g,TAUGnIQDR9-m23DWLZ0dow,1,0,0,0,"Got door dash from sushi garden and they forgot half of our food. Paid for extra sauce and only got 2 when we had 6 entres. Forgot crab puffs that we order and ordered California roll tempura but only got a california roll. Also ordered calamari and it was the blandest thing i've ever tasted. Wasted so much money on our messed up order, will not come here again. You can get better sushi at sprouts or something.",Tucson,negative,32.3401159,-111.0154831,2.5,243,"{'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'BikeParking': 'True', 'HasTV': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""u'no'"", 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}",Sushi Bars,2021
TgTyw78HvYS7tdZngR3vTw,eZfhvDdol03GkF6PaFWO-A,3,0,0,0,"Good little coffee shop with great staff!  Parking is a bit of a challenge and the location is not the best but the coffee is good.  You can choose from several different beans and five different methods of brewing.  Be aware, that there is only one decaf offering.  The cup I chose was well made and had good flavor.  Friends visited a few days later and were not impressed with the decaf.  I don't know that I will go out of my way to visit here again.  I'm afraid the location will make this new business struggle.",Tucson,neutral,32.25064,-110.9867121,4.5,34,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'False'}",Cafes,2020
Nug8W_G_hmkaL7A91OhPaw,wNvmhrTBmGimVHVZwKrmLw,3,1,0,0,"Actually, the food there was great, especially the fish filets, if you are a fan of spicy chinese food then it deserves a trial. The reason of why I gave 2 stars is because of the delivery service and the management work. I ordered fish filets and required a delivery, when the food arrived I found they delivery the wrong food, beef soup noodle. Then I called them for the right dishes and they did, but called me to pick it up in the resturant. If I could, why would I choose a delivery and paid the taxes and tips? That is the key fact I could not bear and it's their responsiblity to get the customer the right order and redelivery it.

Additional information, the waiter called me and said they could arrange a time and send me the right food at 2pm, but here is nearly 4pm and I almost starved to death waiting for my fish filets. Get some biscuits for the lunch(although it's 3pm) and I requested a refund but no one answered. And, for those who want to order for delivery, do think twice or at least ask the driver to stop for a while until you have check all your food are correct in the plastic bag. This is really a terrible experience.

Update: The owner do a compensation redelivery and apologized for the mistake happened last Saturday, attached a photo of the fish filet in the bag. Actually food was great and authentic. Again, given that the plastic bag is not transparent, I think if you use yelp to oder for a delivery, do open the bag and check all the things are correct inside it and contact the owner as soon as possible if some mistake happened.",Tucson,negative,32.236404,-110.9336425,3.5,57,"{'Corkage': 'False', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HappyHour': 'False', 'HasTV': 'False', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'RestaurantsDelivery': 'True', 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""u'no'"", 'OutdoorSeating': 'True'}",Hot Pot,2020
M8HgJidWK2yODX4P9fFUAg,kBhu25HU_hfsmhUAAO7x4Q,1,5,0,0,"Stay away from this dealership. They force you to buy their maintenance for life, which can only be used at their dealership. If you move, you waste 1500 dollars because no other dealership will honor it. They also sold me a BRAND NEW vehicle. I didn't see that the seat was ripped. The next day, I brought it back to them and asked for them to put new leather in there, but they only offered to pay for some guy named JESUS with a third party company to patch it. After that, they stopped answering my calls. Fiat Chrysler is no better, no help from them. A year later, I find out that these are not the original wheels that come with the vehicle. They swapped them for smaller wheels and cheaper tires.",Tucson,negative,32.28889986,-110.9837925,2.5,68,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}",Auto Parts & Supplies,2020
C__RR9BBXuwXwNN5qoYxuQ,iLdVQodnexGgwcJYuW3mYw,1,2,0,1,"Sadly, I will never eat at this restaurant again.

On 5/29/2021, I, my wife and friends ate there and an order of meat patties was very undercooked. I didn't notice at the time because the rest of the food tasted great. However, I spent the next two days, Sunday and Monday of the Memorial Day weekend, on the couch and in the restroom. My wife also experienced an upset stomach, but less so than me because she ate less of the meat patties.

I understand that Covid-19 has caused issues for us all, businesses and restaurants included.

But when I called to speak to the restaurant manager on the morning of 6/2/2021 and he argued with me, that is when I chose to never go to that restaurant again and to post this review.

The manager, who did not give his name, only responded with ""this happened and Saturday and you're telling me now?"" I told him that since he's running a restaurant, he should know that there was a problem with the food. He never apologized, he never said he'd talk with the cook, he did nothing but argue with me and intimate that somehow I was wrong because I informed him of the problem a few days after the fact.

Whomever the owner of the restaurant is, I encourage you to at least retrain your cooks. I highly encourage you to replace the manager who answered the phone on the morning of 6/2/2021. I wasn't angry about the undercooked food and I'm still not. But as a retired veteran whose Memorial Day weekend was ruined by the meal I had there on Saturday, I did become very angry after talking to your uncaring manager.

And I'll never be back.",Tucson,negative,32.2363842,-110.9286363,4.5,166,"{'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'HasTV': 'True', 'Caters': 'True', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HappyHour': 'True', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'False', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': None, u'lot': True, u'validated': False}"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'RestaurantsDelivery': 'None', 'RestaurantsTakeOut': 'None'}",Mediterranean,2021
XKkSb1x--ru7tueRhTOV-A,wXUg9bsJ9b4PS4pie8GVIA,5,0,0,0,"We're here on vacation and wanted something outside of our hotel for breakfast. We couldn't be happier with this spot! Great view, good atmosphere, awesome service, and delicious foods and juices! Definitely our new spot for the next few days.",Oro Valley,positive,32.39786,-110.958336,4,246,"{'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'casual'"", 'Caters': 'False', 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': None, u'lot': None, u'validated': False}"", 'RestaurantsReservations': 'None', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': None}""}",Cafes,2021
z7nDbg25AJeMRQJyB-YSIg,klQ8nQzPuSI1FiSBVI_xpA,5,0,0,0,Liked the fact it's women owned.  Dropped my clubs off to have them regripped.  They did an excellent job and had them ready the next day.,Tucson,positive,32.22164996,-110.8611805,5,10,"{'WheelchairAccessible': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True'}",Golf Lessons,2021
F3D32snHak8EUX74yxJOiw,6pVVwtFmd7VBsgyFPHvU_w,1,2,0,0,"After recently receiving a cancer free diagnosis, my daughter, 2 nieces and I wanted to celebrate the news at this location.
We were greeted in a pleasant way by the Security guard named Andrew. Originally we requested to dine in the patio area but were instead directed by the waitress to sit indoors due to one of my nieces being 20 years old. The indoor option was to be seated in a small table evidently intended for guests of two which made spacing between us uncomfortable.
We then asked to speak to a manager to explore the possibility of being seated outside. The waitress was coarse in all her responses to us and visibly irritated throughout this time. When the manager arrived to our table one of my nieces began to make the inquiry before being rudely interrupted with a shouting response. He stated he was deaf in one ear when we gestured if he could lower his voice. The manager continued to shout and arrogantly explain that they had a long waiting list and we could not be accommodated. We were willing to overlook the situation considering we hadn't made a reservation.
Shortly after the same waitress came to take our order for drinks and appetizers. We placed our orders and requested a virgin margarita for my underage niece. As soon as we got our drinks we decided to take a video to post on social media. Before we could do so the waitress suddenly reached over the table and yanked the drink from my hand, placed it away from my niece and furiously blurted out that our alcoholic drinks could not be next to one another. She spitefully continued to say ""we are watching you"" insinuating we had careless intentions of letting our underage member drink. I responded that we did not need to be watched which was why we were led to sit inside in the first place and together as a group.
The appetizers were then brought in and took up most of the dining surface. A waiter then came to drop off the dinner selections for my nieces and daughter excluding myself. The waiter simply shifted the empty plates to my table corner when setting down the food but did not bother to remove them. After a considerable amount of time had passed a different waitress came with my dinner order. Instead of clearing the surface area or setting down my food, she casually stood next to me looking at me expecting me to take the dinner plate off her hands. After standing there she exclaimed and proceeded to remove the empty appetizer plates before setting down the food.

Overall this was a horrendous dining experience with extremely unprofessional and vindictive staff members. I can understand drinking policies for minors can be in place but in no way excuse such deplorable behavior. Very disappointed at this place.",Tucson,negative,32.2862347,-110.942452,3.5,916,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'False', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'CoatCheck': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'WheelchairAccessible': 'True', 'Caters': 'True', 'RestaurantsTableService': 'True', 'ByAppointmentOnly': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': True, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'Smoking': ""u'outdoor'"", 'DogsAllowed': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}"", 'BusinessAcceptsBitcoin': 'False', 'HappyHour': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': True}"", 'BYOB': 'False', 'GoodForDancing': 'False', 'RestaurantsDelivery': 'True'}",Bars,2021
7iwEtDftU_VpP1sV3ABlNw,Z4lwt5fK5-gINuWfI1aiRg,5,1,0,2,"I absolutely do not even know where to start with this place! Don't worry, that's a good thing. A *very* good thing, in fact. 

Tucson has some adequate Thai food but I was unaware of anything REALLY good. I'm from Washington state, as anyone who has read my reviews probably knows. We have some excellent Thai restaurants in my home state, and over the nearly 15 years I've called Tucson home I've been searching in vain for one here. 

And now I have found one. 

We, actually, as DH will want to be included. 

This has been a very long week for us both - DH started a new position at work and ice been stressed out at work. I had most of the day off today, so I was able to recharge. And since tonight was date night, I decided on Thai food. 


DH found a place with glowing reviews that at first glance, we thought was near us. Except no. Originally I wasn't planning on going out and wanted either DH to pick it up or else have something delivered. Once we realized Saing was in Rita Ranch (we live near Campbell and Irvington) we thought about a place closer. But the delicious sounding menu and glowing reviews made me change my mind about going out. 

The restaurant is in the same strip mall as a currently infamous Rita Ranch coffee shop whose name rhymes with the last name of Indy racers Dick and Tom. But I don't want to give that guy any more attention, so anyway. 

DH had green curry, and I had the Thai cashew chicken. I love Thai cashew chicken, and that's high on my list of favorite things to make myself. Mind you, until tonight, I've never had a restaurant version as good or comparable to one I make myself. DH's cousin once told me mine was as good as the one at his favorite Thai place in Colorado. Mmmm. 

The curry was fantastic, creamy from the coconut milk and then you're hit with the punch of heat afterwards. Exactly the way a good curry should be. The chicken was delicious, flavorful and just spicy enough, with plenty of cashews and lots of glorious sauce. Oh my. 

This is also the kind of neighborhood joint where the regulars know the staff, so there was a lot of ""hey, how's it going, good to see you, how was your trip?"" which is always nice to see. I grew up in a small town with parents who knew *everyone* and to my dad, strangers are just friends you haven't met yet. I love that kind of energy! 

The elderly Thai man who works there was charming and funny, and very nice. Please keep him around! He's a gem. 

If you want quality, delicious Thai food at reasonable prices, this is the place to go. Don't just take my word for it, get off your butt and head out to Rita Ranch and experience it yourself. It's worth it. I promise.

Thank you, Saing Thai!",Tucson,positive,32.118663,-110.797634,4,341,"{'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'Alcohol': ""u'beer_and_wine'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'WiFi': ""u'no'"", 'NoiseLevel': ""u'average'"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'None'}",Restaurants,2021
SJFoVwMGM_b1uiR-Zq5fOA,RHdEScVIAQ7xzFFMiQEnAQ,5,1,0,1,Everything is super fresh. The breakfast quesadillas are delicious and the 1lb of taco meat and tortillas with beans is great deal for a bigger crowd.,Tucson,positive,32.2513182,-110.8750125,4.5,499,"{'RestaurantsTableService': 'False', 'RestaurantsReservations': 'True', 'BikeParking': 'False', 'WiFi': ""u'no'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'Caters': 'True', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True', 'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'None', 'RestaurantsDelivery': 'None', 'Alcohol': ""u'none'"", 'HasTV': 'False', 'DriveThru': 'None', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'HappyHour': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True'}",Tacos,2021
